name,type,day,startTime,endTime,teacher,notes,datecreated,dateupdated,Createdby,Updatedby
Basic English,Class,Monday,8:00:00,9:30:00,volunteer,,,,powershell,powershell
Intermediate English,Class,Monday,9:00:00,10:30:00,volunteer,,,,powershell,powershell
Basic English,Class,Monday,10:00:00,11:30:00,volunteer,,,,powershell,powershell
Intermediate English,Class,Monday,11:00:00,12:30:00,volunteer,,,,powershell,powershell
Basic English,Class,Monday,14:00:00,15:30:00,volunteer,,,,powershell,powershell
Basic English,Class,Tuesday,8:00:00,9:30:00,volunteer,,,,powershell,powershell
Intermediate English,Class,Tuesday,9:00:00,10:30:00,volunteer,,,,powershell,powershell
Basic English,Class,Tuesday,10:00:00,11:30:00,volunteer,,,,powershell,powershell
Intermediate English,Class,Tuesday,11:00:00,12:30:00,volunteer,,,,powershell,powershell
Basic English,Class,Wednesday,9:00:00,10:30:00,volunteer,,,,powershell,powershell
Intermediate English,Class,Wednesday,10:00:00,11:30:00,volunteer,,,,powershell,powershell
Basic English,Class,Wednesday,11:00:00,12:30:00,volunteer,,,,powershell,powershell
Intermediate English,Class,Wednesday,12:00:00,13:30:00,volunteer,,,,powershell,powershell
